Throughput,Speed,Head1,Head2,Head3,Head4
0,200,0.168,0.135,0.167,0.148
0,200,0.158,0.136,0.173,0.141
0,200,0.156,0.141,0.177,0.141
0,200,0.165,0.14,0.176,0.149
0,200,0.167,0.136,0.17,0.153
4.6,200,0.15,0.147,0.175,0.145
4.6,200,0.155,0.158,0.152,0.146
4.6,200,0.155,0.155,0.157,0.14
4.6,200,0.177,0.143,0.163,0.14
4.6,200,0.147,0.148,0.169,0.146
1.6,20,0.134,0.126,0.126,0.129
1.6,20,0.128,0.128,0.127,0.128
1.6,20,0.128,0.131,0.127,0.127
1.6,20,0.129,0.132,0.138,0.116
1.6,20,0.131,0.131,0.139,0.127
4.6,20,0.131,0.127,0.137,0.129
4.6,20,0.146,0.126,0.149,0.127
4.6,20,0.144,0.136,0.164,0.131
4.6,20,0.133,0.149,0.128,0.131
4.6,20,0.142,0.135,0.132,0.131
5,200,0.134,0.124,0.124,0.121
5,200,1.34,0.123,0.127,0.128
5,200,0.137,0.117,0.132,0.13
5,200,0.138,0.126,0.124,0.15
5,200,0.126,0.136,0.127,0.151
